filename,glioma,meningioma,no-tumor,pituitary
Tr-gl_0064_jpg.rf.dffd4144b5e90159e29146e642d2386a.jpg,1,0,0,0
Tr-gl_0716_jpg.rf.713f1268ebc7a30f5d327fcb6c601642.jpg,1,0,0,0
Tr-gl_0262_jpg.rf.c96d5b9d99c41ec71d7c15baa92c2d72.jpg,1,0,0,0
Tr-gl_0070_jpg.rf.9276e00d137766351ea638c52df174dc.jpg,1,0,0,0
Tr-gl_0934_jpg.rf.fd0ab3c01f67172d24f5602f5f60b82b.jpg,1,0,0,0
Tr-gl_1140_jpg.rf.d341d833b96a286bac7a6740dd1d0e84.jpg,1,0,0,0
Tr-gl_0500_jpg.rf.e06727972693c8f5e3b3c3a4b81a3c56.jpg,1,0,0,0
Tr-gl_0713_jpg.rf.4d71cf4a3b77af1677f1799085f42288.jpg,1,0,0,0
Tr-gl_0049_jpg.rf.328d86b73616614cc7f07506b895d45f.jpg,1,0,0,0
Tr-gl_1178_jpg.rf.0acfa1b486d506c6681dcf0a0b2fd6b1.jpg,1,0,0,0
Tr-gl_0504_jpg.rf.a5f53fc52ccb08d2795dec2c1316f659.jpg,1,0,0,0
Tr-gl_1223_jpg.rf.411317bacf77e42f56c00fc520d231d1.jpg,1,0,0,0
Tr-gl_0897_jpg.rf.1e5f43d74534d9bdae010d2c9164570b.jpg,1,0,0,0
Tr-gl_0667_jpg.rf.4ccf52f70afdee8ad27af701cc886af5.jpg,1,0,0,0
Tr-gl_0299_jpg.rf.8da12c54d0e93f08edd187013c53fab1.jpg,1,0,0,0
Tr-gl_0075_jpg.rf.2813a8a36be58df5785f64ede01ae0ba.jpg,1,0,0,0
Tr-gl_0272_jpg.rf.0d8e43c1c27ee4273853d342fc0a306c.jpg,1,0,0,0
Tr-gl_0673_jpg.rf.857f94f37fd370c21d8b98ec209a24ea.jpg,1,0,0,0
Tr-gl_1187_jpg.rf.8a3dd75d2a1703e522e87ee6a1f02ed7.jpg,1,0,0,0
m-28-_jpg.rf.fec616b0da3a8427251010a46353bf2b.jpg,0,1,0,0
Tr-gl_0266_jpg.rf.b4fe4398438935f8415b11bdd097c625.jpg,1,0,0,0
Tr-gl_1144_jpg.rf.1faf841c1ca2011c4eff18d4caa1bf4b.jpg,1,0,0,0
m3-241-_jpg.rf.074c7eb69f6617f536d0648a9bc24ca8.jpg,0,1,0,0
Tr-gl_0908_jpg.rf.9b4b214236d5054808bf671d63056c79.jpg,1,0,0,0
Tr-gl_0129_jpg.rf.6d240e45f5dc3246183a77240a1a6dc5.jpg,1,0,0,0
Tr-gl_0528_jpg.rf.719ab424d50ce75366473278b3700199.jpg,1,0,0,0
Tr-gl_0702_jpg.rf.e100551321b9a8edcdb86c3f25f65b47.jpg,1,0,0,0
m3-152-_jpg.rf.fb7f63b831170e5e291df35f0e69e8da.jpg,0,1,0,0
m3-18-_jpg.rf.20e1a21ac43a48ad5327a6ddda78ef67.jpg,0,1,0,0
Tr-pi_1136_jpg.rf.95d0fc3177269d88997ab23a135b5c58.jpg,0,0,0,1
Tr-gl_1120_jpg.rf.a7c4da58fd85ae4a96a607507b4c8ec1.jpg,1,0,0,0
Tr-pi_0268_jpg.rf.c1083899ed47b6b55b4fc8a3371003d2.jpg,0,0,0,1
Tr-pi_0752_jpg.rf.18fa27bc6dc647ab14d36bd62586bb82.jpg,0,0,0,1
Tr-pi_0045_jpg.rf.10bcbd42782702f020ce1faa3eacfde4.jpg,0,0,0,1
Tr-pi_0688_jpg.rf.033b40dea498984223080e6e65eec7fe.jpg,0,0,0,1
Tr-pi_0434_jpg.rf.07384d04f869a0e6aecc306428d08c5c.jpg,0,0,0,1
Tr-pi_0320_jpg.rf.e4b68bc9303dd731b400e3fef4ffcf5d.jpg,0,0,0,1
m1-119-_jpg.rf.b00d1da8e6145dce38c3f7aa583aac11.jpg,0,1,0,0
